z,ice_eq_z
66.6,41.06274532
66.8,41.21934772
67,41.37611418
67.2,41.5330446
67.4,41.69013887
67.6,41.84739692
67.8,42.00481865
68,42.16240396
68.2,42.32015275
68.4,42.47806493
68.6,42.6361404
68.8,42.79437906
69,42.95278081
69.2,43.11134554
69.4,43.27007317
69.6,43.42896359
69.8,43.58801671
70,43.74723243
70.2,43.90661063
70.4,44.0661512
70.6,44.22585405
70.8,44.3857191
71,44.54574624
71.2,44.70593534
71.4,44.8662863
71.6,45.02679902
71.8,45.18747339
72,45.34830931
72.2,45.50930668
72.4,45.67046538
72.6,45.83178529
72.8,45.99326631
73,46.15490834
73.2,46.31671128
73.4,46.47867498
73.6,46.64079937
73.8,46.80308433
74,46.96552974
74.2,47.12813549
74.4,47.29090148
74.6,47.45382759
74.8,47.61691371
75,47.78015973
75.2,47.94356554
75.4,48.107131
75.6,48.27085601
75.8,48.43474047
76,48.59878424
76.2,48.76298722
76.4,48.92734927
76.6,49.09187029
76.8,49.25655014
77,49.42138871
77.2,49.58638589
77.4,49.75154154
77.6,49.91685554
77.8,50.0823278
78,50.24795819
78.2,50.41374658
78.4,50.57969285
78.6,50.7457969
78.8,50.91205859
79,51.07847783
79.2,51.24505448
79.4,51.41178843
79.6,51.57867956
79.8,51.74572773
80,51.91293282
80.2,52.08029471
80.4,52.24781328
80.6,52.41548839
80.8,52.58331991
81,52.75130771
81.2,52.91945168
81.4,53.08775167
81.6,53.25620756
81.8,53.42481924
82,53.59358658
82.2,53.76250943
82.4,53.93158768
82.6,54.10082121
82.8,54.27020988
83,54.43975355
83.2,54.6094521
83.4,54.77930539
83.6,54.94931329
83.8,55.11947567
84,55.2897924
84.2,55.46026335
84.4,55.63088836
84.6,55.80166731
84.8,55.97260008
85,56.14368651
85.2,56.31492649
85.4,56.48631989
85.6,56.65786655
85.8,56.82956635
86,57.00141914
86.2,57.17342479
86.4,57.34558316
86.6,57.51789411
86.8,57.69035752
87,57.86297323
87.2,58.03574111
87.4,58.20866101
87.6,58.3817328
87.8,58.55495634
88,58.72833151
88.2,58.90185816
88.4,59.07553613
88.6,59.24936528
88.8,59.4233455
89,59.59747663
89.2,59.77175853
89.4,59.94619106
89.6,60.12077406
89.8,60.2955074
90,60.47039095
90.2,60.64542457
90.4,60.8206081
90.6,60.99594139
90.8,61.1714243
91,61.34705669
91.2,61.52283842
91.4,61.69876933
91.6,61.87484928
91.8,62.05107811
92,62.22745566
92.2,62.4039818
92.4,62.5806564
92.6,62.75747928
92.8,62.93445032
93,63.11156935
93.2,63.28883625
93.4,63.46625085
93.6,63.643813
93.8,63.82152258
94,63.99937944
94.2,64.1773834
94.4,64.35553433
94.6,64.53383208
94.8,64.71227648
95,64.8908674
95.2,65.06960468
95.4,65.24848817
95.6,65.42751771
95.8,65.60669313
96,65.78601429
96.2,65.96548104
96.4,66.14509322
96.6,66.32485069
96.8,66.50475328
97,66.68480084
97.2,66.86499323
97.4,67.04533027
97.6,67.22581182
97.8,67.40643774
98,67.58720787
98.2,67.76812212
98.4,67.94917969
98.6,68.1303778
98.8,68.31171222
99,68.49317861
99.2,68.67477265
99.4,68.85648996
99.6,69.03832615
99.8,69.22027681
100,69.40233744
100.2,69.58450422
100.4,69.7667753
100.6,69.94915023
100.8,70.13162866
101,70.31421022
101.2,70.49689454
101.4,70.67968124
101.6,70.86256992
101.8,71.0455602
102,71.22865168
102.2,71.41184398
102.4,71.59513671
102.6,71.77852947
102.8,71.96202187
103,72.14561348
103.2,72.3293039
103.4,72.51309275
103.6,72.69697963
103.8,72.88096412
104,73.06504581
104.2,73.2492243
104.4,73.43349916
104.6,73.61786999
104.8,73.8023364
105,73.98689796
105.2,74.17155425
105.4,74.35630485
105.6,74.54114933
105.8,74.7260873
106,74.91111831
106.2,75.09624196
106.4,75.28145784
106.6,75.46676551
106.8,75.65216455
107,75.83765454
107.2,76.02323508
107.4,76.20890572
107.6,76.39466603
107.8,76.58051559
108,76.76645398
108.2,76.95248073
108.4,77.13859544
108.6,77.32479769
108.8,77.51108703
109,77.69746303
109.2,77.88392527
109.4,78.07047332
109.6,78.25710675
109.8,78.44382513
110,78.63062803
110.2,78.81751503
110.4,79.00448568
110.6,79.19153955
110.8,79.37867619
111,79.5658952
111.2,79.75319614
111.4,79.94057857
111.6,80.12804206
111.8,80.31558618
112,80.5032105
112.2,80.69091458
112.4,80.878698
112.6,81.06656032
112.8,81.25450113
113,81.44251997
113.2,81.63061643
113.4,81.81879008
113.6,82.00704048
113.8,82.1953672
114,82.38376983
114.2,82.57224793
114.4,82.76080109
114.6,82.94942886
114.8,83.13813082
115,83.32690655
115.2,83.51575563
115.4,83.70467763
115.6,83.89367212
115.8,84.08273868
116,84.27187688
116.2,84.46108632
116.4,84.65036657
116.6,84.83971722
116.8,85.02913784
117,85.21862801
117.2,85.40818732
117.4,85.59781537
117.6,85.78751174
117.8,85.97727602
118,86.16710778
118.2,86.35700661
118.4,86.54697211
118.6,86.73700387
118.8,86.92710147
119,87.11726451
119.2,87.30749258
119.4,87.49778671
119.6,87.68814936
119.8,87.87858292
120,88.06908977
120.2,88.25967222
120.4,88.45033253
120.6,88.64107294
120.8,88.83189563
121,89.02280272
121.2,89.21379489
121.4,89.40487134
121.6,89.59603127
121.8,89.78727391
122,89.97859849
122.2,90.17000423
122.4,90.36149038
122.6,90.55305618
122.8,90.74470089
123,90.93642378
123.2,91.12822411
123.4,91.32010115
123.6,91.51205419
123.8,91.70408251
124,91.89618542
124.2,92.08836222
124.4,92.28061221
124.6,92.4729347
124.8,92.66532903
125,92.85779452
125.2,93.05033049
125.4,93.24293631
125.6,93.4356113
125.8,93.62835482
126,93.82116623
126.2,94.01404491
126.4,94.2069902
126.6,94.4000015
126.8,94.59307819
127,94.78621965
127.2,94.97942528
127.4,95.17269448
127.6,95.36602665
127.8,95.55942121
128,95.75287756
128.2,95.94639514
128.4,96.13997336
128.6,96.33361167
128.8,96.5273095
129,96.72106629
129.2,96.91488149
129.4,97.10875456
129.6,97.30268495
129.8,97.49667212
130,97.69071556
130.2,97.88481472
130.4,98.07896909
130.6,98.27317815
130.8,98.46744139
131,98.66175831
131.2,98.85612839
131.4,99.05055115
131.6,99.24502609
131.8,99.43955272
132,99.63413056
132.2,99.82875913
132.4,100.0234379
132.6,100.2181666
132.8,100.4129445
133,100.6077713
133.2,100.8026465
133.4,100.9975696
133.6,101.1925402
133.8,101.3875579
134,101.5826222
134.2,101.7777327
134.4,101.9728889
134.6,102.1680905
134.8,102.3633369
135,102.5586278
135.2,102.7539628
135.4,102.9493414
135.6,103.1447632
135.8,103.3402279
136,103.535735
136.2,103.7312842
136.4,103.926875
136.6,104.122507
136.8,104.31818
137,104.5138934
137.2,104.7096469
137.4,104.9054401
137.6,105.1012727
137.8,105.2971443
138,105.4930545
138.2,105.6890029
138.4,105.8849893
138.6,106.0810132
138.8,106.2770744
139,106.4731724
139.2,106.6693068
139.4,106.8654775
139.6,107.061684
139.8,107.2579259
140,107.4542031
140.2,107.650515
140.4,107.8468615
140.6,108.0432422
140.8,108.2396567
141,108.4361047
141.2,108.632586
141.4,108.8291002
141.6,109.0256471
141.8,109.2222262
142,109.4188373
142.2,109.6154802
142.4,109.8121544
142.6,110.0088598
142.8,110.205596
143,110.4023627
143.2,110.5991597
143.4,110.7959866
143.6,110.9928433
143.8,111.1897293
144,111.3866445
144.2,111.5835885
144.4,111.7805612
144.6,111.9775621
144.8,112.1745911
145,112.3716479
145.2,112.5687323
145.4,112.7658439
145.6,112.9629825
145.8,113.160148
146,113.3573399
146.2,113.5545581
146.4,113.7518023
146.6,113.9490724
146.8,114.1463679
147,114.3436888
147.2,114.5410347
147.4,114.7384055
147.6,114.9358008
147.8,115.1332206
148,115.3306644
148.2,115.5281322
148.4,115.7256237
148.6,115.9231387
148.8,116.1206768
149,116.3182381
149.2,116.5158221
149.4,116.7134288
149.6,116.9110578
149.8,117.108709
150,117.3063822
150.2,117.5040772
150.4,117.7017937
150.6,117.8995316
150.8,118.0972907
151,118.2950707
151.2,118.4928715
151.4,118.6906929
151.6,118.8885347
151.8,119.0863966
152,119.2842786
152.2,119.4821803
152.4,119.6801017
152.6,119.8780426
152.8,120.0760027
153,120.2739819
153.2,120.47198
153.4,120.6699968
153.6,120.8680322
153.8,121.066086
154,121.264158
154.2,121.462248
154.4,121.6603559
154.6,121.8584815
154.8,122.0566246
155,122.2547851
155.2,122.4529628
155.4,122.6511575
155.6,122.8493692
155.8,123.0475976
156,123.2458425
156.2,123.4441039
156.4,123.6423815
156.6,123.8406753
156.8,124.038985
157,124.2373106
157.2,124.4356518
157.4,124.6340085
157.6,124.8323806
157.8,125.0307679
158,125.2291703
158.2,125.4275877
158.4,125.6260198
158.6,125.8244667
158.8,126.022928
159,126.2214038
159.2,126.4198938
159.4,126.618398
159.6,126.8169161
159.8,127.0154481
160,127.2139939
160.2,127.4125532
160.4,127.6111261
160.6,127.8097122
160.8,128.0083116
161,128.2069242
161.2,128.4055497
161.4,128.604188
161.6,128.8028391
161.8,129.0015028
162,129.200179
162.2,129.3988676
162.4,129.5975685
162.6,129.7962815
162.8,129.9950066
163,130.1937436
163.2,130.3924924
163.4,130.5912529
163.6,130.790025
163.8,130.9888086
164,131.1876036
164.2,131.3864099
164.4,131.5852273
164.6,131.7840558
164.8,131.9828952
165,132.1817455
165.2,132.3806066
165.4,132.5794783
165.6,132.7783606
165.8,132.9772533
166,133.1761564
166.2,133.3750698
166.4,133.5739933
166.6,133.7729269
166.8,133.9718705
167,134.1708239
167.2,134.3697872
167.4,134.5687601
167.6,134.7677427
167.8,134.9667347
168,135.1657362
168.2,135.3647471
168.4,135.5637672
168.6,135.7627965
168.8,135.9618348
169,136.1608822
169.2,136.3599384
169.4,136.5590035
169.6,136.7580774
169.8,136.9571599
170,137.1562509
170.2,137.3553505
170.4,137.5544585
170.6,137.7535749
170.8,137.9526995
171,138.1518324
171.2,138.3509733
171.4,138.5501223
171.6,138.7492792
171.8,138.948444
172,139.1476166
172.2,139.346797
172.4,139.545985
172.6,139.7451807
172.8,139.9443838
173,140.1435945
173.2,140.3428125
173.4,140.5420378
173.6,140.7412704
173.8,140.9405101
174,141.139757
174.2,141.3390109
174.4,141.5382718
174.6,141.7375396
174.8,141.9368142
175,142.1360957
175.2,142.3353838
175.4,142.5346786
175.6,142.7339801
175.8,142.933288
176,143.1326024
176.2,143.3319233
176.4,143.5312505
176.6,143.730584
176.8,143.9299237
177,144.1292696
177.2,144.3286216
177.4,144.5279797
177.6,144.7273438
177.8,144.9267139
178,145.1260898
178.2,145.3254716
178.4,145.5248592
178.6,145.7242524
178.8,145.9236514
179,146.123056
179.2,146.3224662
179.4,146.5218818
179.6,146.721303
179.8,146.9207295
180,147.1201615
180.2,147.3195987
180.4,147.5190412
180.6,147.7184889
180.8,147.9179418
181,148.1173998
181.2,148.3168629
181.4,148.516331
181.6,148.7158041
181.8,148.9152821
182,149.114765
182.2,149.3142527
182.4,149.5137453
182.6,149.7132425
182.8,149.9127445
183,150.1122511
183.2,150.3117624
183.4,150.5112782
183.6,150.7107986
183.8,150.9103234
184,151.1098527
184.2,151.3093864
184.4,151.5089244
184.6,151.7084668
184.8,151.9080135
185,152.1075644
185.2,152.3071195
185.4,152.5066787
185.6,152.7062421
185.8,152.9058096
186,153.1053811
186.2,153.3049566
186.4,153.5045361
186.6,153.7041196
186.8,153.9037069
187,154.1032981
187.2,154.3028931
187.4,154.5024919
187.6,154.7020945
187.8,154.9017007
188,155.1013107
188.2,155.3009243
188.4,155.5005415
188.6,155.7001623
188.8,155.8997867
189,156.0994146
189.2,156.2990459
189.4,156.4986807
189.6,156.6983189
189.8,156.8979605
190,157.0976055
190.2,157.2972538
190.4,157.4969053
190.6,157.6965601
190.8,157.8962182
191,158.0958795
191.2,158.2955439
191.4,158.4952114
191.6,158.6948821
191.8,158.8945559
192,159.0942327
192.2,159.2939125
192.4,159.4935953
192.6,159.6932811
192.8,159.8929699
193,160.0926615
193.2,160.292356
193.4,160.4920534
193.6,160.6917536
193.8,160.8914567
194,161.0911625
194.2,161.290871
194.4,161.4905823
194.6,161.6902963
194.8,161.890013
195,162.0897323
195.2,162.2894542
195.4,162.4891787
195.6,162.6889059
195.8,162.8886355
196,163.0883677
196.2,163.2881024
196.4,163.4878396
196.6,163.6875793
196.8,163.8873213
197,164.0870658
197.2,164.2868127
197.4,164.486562
197.6,164.6863136
197.8,164.8860675
198,165.0858237
198.2,165.2855822
198.4,165.485343
198.6,165.685106
198.8,165.8848712
199,166.0846386
199.2,166.2844082
199.4,166.48418
199.6,166.6839538
199.8,166.8837298
200,167.0835079
200.2,167.2832881
200.4,167.4830703
200.6,167.6828546
200.8,167.8826409
201,168.0824292
201.2,168.2822194
201.4,168.4820117
201.6,168.6818058
201.8,168.8816019
202,169.0813999
202.2,169.2811998
202.4,169.4810016
202.6,169.6808052
202.8,169.8806107
203,170.0804179
203.2,170.280227
203.4,170.4800379
203.6,170.6798505
203.8,170.8796649
204,171.079481
204.2,171.2792989
204.4,171.4791184
204.6,171.6789397
204.8,171.8787626
205,172.0785872
205.2,172.2784134
205.4,172.4782412
205.6,172.6780706
205.8,172.8779017
206,173.0777343
206.2,173.2775685
206.4,173.4774042
206.6,173.6772415
206.8,173.8770803
207,174.0769206
207.2,174.2767624
207.4,174.4766057
207.6,174.6764505
207.8,174.8762967
208,175.0761443
208.2,175.2759934
208.4,175.4758438
208.6,175.6756957
208.8,175.875549
209,176.0754036
209.2,176.2752596
209.4,176.4751169
209.6,176.6749756
209.8,176.8748356
210,177.0746969
210.2,177.2745595
210.4,177.4744234
210.6,177.6742886
210.8,177.874155
211,178.0740227
211.2,178.2738916
211.4,178.4737618
211.6,178.6736331
211.8,178.8735057
212,179.0733794
212.2,179.2732544
212.4,179.4731305
212.6,179.6730077
212.8,179.8728861
213,180.0727657
213.2,180.2726464
213.4,180.4725281
213.6,180.672411
213.8,180.872295
214,181.0721801
214.2,181.2720663
214.4,181.4719535
214.6,181.6718418
214.8,181.8717311
215,182.0716214
215.2,182.2715128
215.4,182.4714052
215.6,182.6712986
215.8,182.871193
216,183.0710884
216.2,183.2709848
216.4,183.4708821
216.6,183.6707804
216.8,183.8706797
217,184.0705798
217.2,184.270481
217.4,184.470383
217.6,184.670286
217.8,184.8701899
218,185.0700946
218.2,185.2700003
218.4,185.4699069
218.6,185.6698143
218.8,185.8697226
219,186.0696317
219.2,186.2695417
219.4,186.4694525
219.6,186.6693642
219.8,186.8692767
220,187.06919
220.2,187.2691042
220.4,187.4690191
220.6,187.6689348
220.8,187.8688513
221,188.0687686
221.2,188.2686867
221.4,188.4686055
221.6,188.6685251
221.8,188.8684455
222,189.0683666
222.2,189.2682884
222.4,189.468211
222.6,189.6681343
222.8,189.8680583
223,190.067983
223.2,190.2679084
223.4,190.4678345
223.6,190.6677613
223.8,190.8676888
224,191.067617
224.2,191.2675459
224.4,191.4674754
224.6,191.6674055
224.8,191.8673364
225,192.0672678
225.2,192.2672
225.4,192.4671327
225.6,192.6670661
225.8,192.8670001
226,193.0669347
226.2,193.2668699
226.4,193.4668058
226.6,193.6667422
226.8,193.8666792
227,194.0666168
227.2,194.2665551
227.4,194.4664938
227.6,194.6664332
227.8,194.8663731
228,195.0663136
228.2,195.2662546
228.4,195.4661962
228.6,195.6661384
228.8,195.866081
229,196.0660243
229.2,196.265968
229.4,196.4659123
229.6,196.6658571
229.8,196.8658024
230,197.0657482
230.2,197.2656945
230.4,197.4656414
230.6,197.6655887
230.8,197.8655365
231,198.0654848
231.2,198.2654336
231.4,198.4653829
231.6,198.6653327
231.8,198.8652829
232,199.0652336
232.2,199.2651847
232.4,199.4651363
232.6,199.6650884
232.8,199.8650409
233,200.0649938
233.2,200.2649472
233.4,200.464901
233.6,200.6648553
233.8,200.86481
234,201.0647651
234.2,201.2647206
234.4,201.4646765
234.6,201.6646329
234.8,201.8645897
235,202.0645468
235.2,202.2645044
235.4,202.4644624
235.6,202.6644207
235.8,202.8643795
236,203.0643386
236.2,203.2642981
236.4,203.464258
236.6,203.6642183
236.8,203.864179
237,204.06414
237.2,204.2641013
237.4,204.4640631
237.6,204.6640252
237.8,204.8639876
238,205.0639504
238.2,205.2639136
238.4,205.4638771
238.6,205.6638409
238.8,205.8638051
239,206.0637696
239.2,206.2637344
239.4,206.4636996
239.6,206.6636651
239.8,206.8636309
240,207.0635971
240.2,207.2635635
240.4,207.4635303
240.6,207.6634974
240.8,207.8634648
241,208.0634325
241.2,208.2634005
241.4,208.4633687
241.6,208.6633373
241.8,208.8633062
242,209.0632754
242.2,209.2632449
242.4,209.4632146
242.6,209.6631847
242.8,209.863155
243,210.0631256
243.2,210.2630964
243.4,210.4630676
243.6,210.663039
243.8,210.8630107
244,211.0629826
244.2,211.2629548
244.4,211.4629273
244.6,211.6629
244.8,211.862873
245,212.0628462
245.2,212.2628197
245.4,212.4627934
245.6,212.6627674
245.8,212.8627416
246,213.0627161
246.2,213.2626908
246.4,213.4626657
246.6,213.6626409
246.8,213.8626163
247,214.0625919
247.2,214.2625678
247.4,214.4625439
247.6,214.6625202
247.8,214.8624967
248,215.0624734
248.2,215.2624504
248.4,215.4624276
248.6,215.662405
248.8,215.8623826
249,216.0623604
249.2,216.2623385
249.4,216.4623167
249.6,216.6622951
249.8,216.8622738
250,217.0622526
250.2,217.2622316
250.4,217.4622109
250.6,217.6621903
250.8,217.8621699
251,218.0621497
251.2,218.2621297
251.4,218.4621099
251.6,218.6620903
251.8,218.8620708
252,219.0620516
252.2,219.2620325
252.4,219.4620136
252.6,219.6619948
252.8,219.8619763
253,220.0619579
253.2,220.2619397
253.4,220.4619217
253.6,220.6619038
253.8,220.8618861
254,221.0618686
254.2,221.2618512
254.4,221.461834
254.6,221.6618169
254.8,221.8618
255,222.0617833
255.2,222.2617667
255.4,222.4617503
255.6,222.661734
255.8,222.8617179
256,223.061702
256.2,223.2616862
256.4,223.4616705
256.6,223.661655
256.8,223.8616396
257,224.0616244
257.2,224.2616093
257.4,224.4615943
257.6,224.6615795
257.8,224.8615649
258,225.0615503
258.2,225.2615359
258.4,225.4615217
258.6,225.6615075
258.8,225.8614936
259,226.0614797
259.2,226.261466
259.4,226.4614524
259.6,226.6614389
259.8,226.8614255
260,227.0614123
260.2,227.2613992
260.4,227.4613862
260.6,227.6613734
260.8,227.8613606
261,228.061348
261.2,228.2613355
261.4,228.4613231
261.6,228.6613108
261.8,228.8612987
262,229.0612866
262.2,229.2612747
262.4,229.4612629
262.6,229.6612512
262.8,229.8612396
263,230.0612281
263.2,230.2612167
263.4,230.4612055
263.6,230.6611943
263.8,230.8611832
264,231.0611723
264.2,231.2611614
264.4,231.4611507
264.6,231.66114
264.8,231.8611294
265,232.061119
265.2,232.2611086
265.4,232.4610984
265.6,232.6610882
265.8,232.8610781
266,233.0610682
266.2,233.2610583
266.4,233.4610485
266.6,233.6610388
266.8,233.8610292
267,234.0610197
267.2,234.2610102
267.4,234.4610009
267.6,234.6609916
267.8,234.8609825
268,235.0609734
268.2,235.2609644
268.4,235.4609555
268.6,235.6609466
268.8,235.8609379
269,236.0609292
269.2,236.2609206
269.4,236.4609121
269.6,236.6609037
269.8,236.8608954
270,237.0608871
270.2,237.2608789
270.4,237.4608708
270.6,237.6608628
270.8,237.8608548
271,238.0608469
271.2,238.2608391
271.4,238.4608314
271.6,238.6608237
271.8,238.8608161
272,239.0608086
272.2,239.2608011
272.4,239.4607937
272.6,239.6607864
272.8,239.8607792
273,240.060772
273.2,240.2607649
273.4,240.4607578
273.6,240.6607509
273.8,240.8607439
274,241.0607371
274.2,241.2607303
274.4,241.4607236
274.6,241.6607169
274.8,241.8607103
275,242.0607038
275.2,242.2606973
275.4,242.4606909
275.6,242.6606845
275.8,242.8606783
276,243.060672
276.2,243.2606658
276.4,243.4606597
276.6,243.6606537
276.8,243.8606477
277,244.0606417
277.2,244.2606358
277.4,244.46063
277.6,244.6606242
277.8,244.8606185
278,245.0606128
278.2,245.2606072
278.4,245.4606016
278.6,245.6605961
278.8,245.8605906
279,246.0605852
279.2,246.2605798
279.4,246.4605745
279.6,246.6605692
279.8,246.860564
280,247.0605589
280.2,247.2605537
280.4,247.4605487
280.6,247.6605437
280.8,247.8605387
281,248.0605337
281.2,248.2605289
281.4,248.460524
281.6,248.6605192
281.8,248.8605145
282,249.0605098
282.2,249.2605051
282.4,249.4605005
282.6,249.6604959
282.8,249.8604914
283,250.0604869
283.2,250.2604825
283.4,250.4604781
283.6,250.6604737
283.8,250.8604694
284,251.0604651
284.2,251.2604609
284.4,251.4604567
284.6,251.6604525
284.8,251.8604484
285,252.0604443
285.2,252.2604402
285.4,252.4604362
285.6,252.6604323
285.8,252.8604283
286,253.0604244
286.2,253.2604206
286.4,253.4604167
286.6,253.660413
286.8,253.8604092
287,254.0604055
287.2,254.2604018
287.4,254.4603982
287.6,254.6603945
287.8,254.860391
288,255.0603874
288.2,255.2603839
288.4,255.4603804
288.6,255.660377
288.8,255.8603736
289,256.0603702
289.2,256.2603668
289.4,256.4603635
289.6,256.6603602
289.8,256.8603569
290,257.0603537
290.2,257.2603505
290.4,257.4603473
290.6,257.6603442
290.8,257.8603411
291,258.060338
291.2,258.260335
291.4,258.4603319
291.6,258.6603289
291.8,258.860326
292,259.060323
292.2,259.2603201
292.4,259.4603172
292.6,259.6603144
